Customer ID,Gender,Age,Years with Firm,Active on Social Media,Average Transactions per Month,RFM Score,Credit Balance (AED),Customer Bio,Customer Name,Customer Username,Profile Picture on Social Media,Number of Referrals,Payback Status
CUST0001,Female,43,9,Yes,13.11,2,468,Always learning,Customer 1,user_1,Yes,7,7
CUST0002,Male,48,10,No,6.09,1,336,Traveler,Customer 2,user_2,No,2,Default
CUST0003,Female,19,7,Yes,17.05,1,596,Love,Customer 3,user_3,No,3,Default
CUST0004,Female,31,0,No,16.77,5,488,"Foodie, traveler, and passionate about personal growth",Customer 4,user_4,Yes,4,2
CUST0005,Male,55,2,No,18.48,2,169,Love,Customer 5,customer5,No,0,Default
CUST0006,Male,21,1,Yes,9.93,5,480,Fitness fanatic with a love for outdoor adventures,Customer 6,user_6,Yes,1,10
CUST0007,Female,30,10,No,15.62,1,938,Fitness,Customer 7,user_7,No,0,Default
CUST0008,Male,35,3,No,8.43,2,31,Foodie,Customer 8,user_8,No,0,Default
CUST0009,Female,49,4,No,11.13,2,658,Shopaholic and proud,Customer 9,user_9,No,1,Default
CUST0010,Male,24,9,No,17.69,2,655,Traveler,Customer 10,user_10,No,7,Default
CUST0011,Male,44,10,Yes,16.31,3,187,Love,Customer 11,customer11,Yes,10,11
CUST0012,Female,56,3,Yes,14.21,4,491,Fitness fanatic with a love for outdoor adventures,Customer 12,user_12,Yes,9,3
CUST0013,Male,57,5,Yes,1.94,1,65,Fitness,Customer 13,user_13,No,2,8
CUST0014,Male,33,0,Yes,14.38,2,251,Shopaholic,Customer 14,customer14,No,5,Default
CUST0015,Female,26,6,No,10.99,3,934,Fitness,Customer 15,user_15,Yes,7,6
CUST0016,Female,17,5,Yes,8.78,1,348,Foodie,Customer 16,user_16,No,4,Default
CUST0017,Male,60,4,No,11.01,2,805,Fitness,Customer 17,user_17,No,9,Default
CUST0018,Female,28,6,Yes,18.07,1,125,Music lover,Customer 18,user_18,Yes,10,Default
CUST0019,Male,26,10,No,9.1,1,301,Shopaholic,Customer 19,customer19,No,3,6
CUST0020,Female,55,7,No,10.04,2,315,Foodie,Customer 20,customer20,No,2,Default
CUST0021,Female,27,8,Yes,17.69,1,685,Love,Customer 21,user_21,No,0,Default
CUST0022,Female,48,10,No,9.81,5,877,"Avid reader, tech enthusiast, and fitness lover",Customer 22,user_22,Yes,10,6
CUST0023,Male,56,8,Yes,11.04,4,939,Creative thinker who enjoys innovation and challenges,Customer 23,user_23,Yes,8,8
CUST0024,Male,29,4,Yes,2.52,2,212,Enjoying the small moments,Customer 24,user_24,Yes,6,Default
CUST0025,Female,58,6,No,19.56,1,415,Enjoying the small moments,Customer 25,user_25,Yes,1,8
CUST0026,Female,26,3,Yes,3.56,5,410,"Avid reader, tech enthusiast, and fitness lover",Customer 26,customer26,Yes,4,10
CUST0027,Female,57,5,No,1.91,5,307,Creative thinker who enjoys innovation and challenges,Customer 27,user_27,Yes,2,10
CUST0028,Male,36,8,Yes,9.54,1,977,Love,Customer 28,user_28,No,10,Default
CUST0029,Male,28,10,Yes,2.61,2,218,Passionate about photography,Customer 29,user_29,No,9,Default
CUST0030,Female,22,10,Yes,8.43,2,728,,Customer 30,user_30,Yes,10,Default
CUST0031,Female,29,0,No,11.73,3,952,Love,Customer 31,user_31,Yes,5,8
CUST0032,Male,17,4,No,10.05,1,707,Bookworm,Customer 32,user_32,No,10,Default
CUST0033,Female,31,4,No,4.44,1,750,Bookworm,Customer 33,user_33,Yes,2,Default
CUST0034,Male,28,3,Yes,9.48,1,139,Enjoying the small moments,Customer 34,user_34,Yes,10,Default
CUST0035,Female,64,9,Yes,2.73,1,512,Traveler and dreamer,Customer 35,user_35,Yes,4,Default
CUST0036,Male,33,1,Yes,13.66,2,473,Enjoying the small moments,Customer 36,user_36,Yes,7,8
CUST0037,Male,18,2,Yes,1.13,2,453,Enjoying,Customer 37,user_37,No,10,Default
CUST0038,Female,61,1,Yes,3.65,2,565,Enjoying the small moments,Customer 38,customer38,No,6,Default
CUST0039,Female,17,7,Yes,8.07,5,664,Tech geek who loves exploring cutting-edge solutions,Customer 39,user_39,Yes,2,4
CUST0040,Male,40,9,No,7.14,1,274,Shopaholic,Customer 40,user_40,No,8,Default
CUST0041,Male,18,1,Yes,14.61,2,363,Tech geek,Customer 41,customer41,Yes,8,Default
CUST0042,Female,55,0,No,13.64,2,625,Shopaholic and proud,Customer 42,customer42,Yes,10,4
CUST0043,Female,62,7,No,6.71,1,559,Love exploring new places,Customer 43,user_43,No,3,Default
CUST0044,Female,47,1,No,13.03,2,702,Music lover,Customer 44,customer44,No,0,Default
CUST0045,Male,43,9,No,4.47,1,873,Always learning,Customer 45,user_45,Yes,8,Default
CUST0046,Male,53,2,No,14.64,1,827,Shopaholic,Customer 46,user_46,No,7,5
CUST0047,Male,32,1,Yes,9.32,1,91,Enjoying,Customer 47,user_47,No,4,7
CUST0048,Female,58,4,No,10.41,2,112,Foodie,Customer 48,user_48,No,9,Default
CUST0049,Female,18,9,No,6.16,2,861,Enjoying the small moments,Customer 49,user_49,No,6,10
CUST0050,Female,40,10,No,17.22,3,432,Traveler,Customer 50,customer50,Yes,9,4
CUST0051,Female,18,0,No,15.48,5,887,Fitness fanatic with a love for outdoor adventures,Customer 51,user_51,Yes,5,11
CUST0052,Female,56,7,No,6.28,4,498,Tech geek who loves exploring cutting-edge solutions,Customer 52,user_52,Yes,9,11
CUST0053,Male,18,5,Yes,13.38,1,936,Love,Customer 53,user_53,No,7,8
CUST0054,Male,23,2,No,6.16,4,202,Fitness fanatic with a love for outdoor adventures,Customer 54,user_54,Yes,0,3
CUST0055,Male,64,7,Yes,15.57,3,457,Traveler,Customer 55,user_55,Yes,9,6
CUST0056,Female,59,7,Yes,13.46,5,598,Passionate about sustainable living and healthy eating,Customer 56,user_56,Yes,8,3
CUST0057,Female,48,10,No,1.79,2,930,Foodie,Customer 57,user_57,No,8,11
CUST0058,Female,61,9,Yes,3.76,1,520,Enjoying,Customer 58,user_58,No,7,Default
CUST0059,Female,57,8,Yes,10.99,4,506,Passionate about sustainable living and healthy eating,Customer 59,user_59,Yes,8,4
CUST0060,Male,39,2,Yes,2.94,2,568,Foodie,Customer 60,user_60,No,2,Default
CUST0061,Male,33,9,Yes,9.5,2,280,Tech geek,Customer 61,user_61,Yes,0,Default
CUST0062,Female,45,10,Yes,8.78,3,878,Foodie,Customer 62,user_62,Yes,5,2
CUST0063,Female,28,10,No,7.12,2,406,Fitness enthusiast,Customer 63,user_63,Yes,4,Default
CUST0064,Female,56,9,No,8.58,5,830,Always learning and sharing my experiences,Customer 64,user_64,Yes,4,1
CUST0065,Male,30,3,Yes,4.31,2,680,Fitness,Customer 65,user_65,No,0,2
CUST0066,Male,20,8,Yes,18.79,5,280,Fitness fanatic with a love for outdoor adventures,Customer 66,user_66,Yes,0,10
CUST0067,Female,20,8,Yes,17.6,1,620,Food lover,Customer 67,user_67,No,6,Default
CUST0068,Male,28,0,Yes,18.67,1,971,Shopaholic,Customer 68,user_68,No,10,Default
CUST0069,Male,48,2,No,8.62,2,560,Music lover,Customer 69,customer69,Yes,5,Default
CUST0070,Female,50,7,Yes,1.62,4,667,Passionate about sustainable living and healthy eating,Customer 70,user_70,Yes,8,4
CUST0071,Female,34,5,No,2,3,94,Love,Customer 71,user_71,Yes,3,12
CUST0072,Female,30,3,No,18.13,1,89,Music lover,Customer 72,user_72,Yes,6,9
CUST0073,Male,45,0,Yes,17.06,1,860,Love,Customer 73,user_73,No,6,Default
CUST0074,Male,60,2,No,15.62,2,967,Shopaholic,Customer 74,user_74,No,0,Default
CUST0075,Female,52,9,Yes,2.26,1,828,Enjoying,Customer 75,customer75,No,7,3
CUST0076,Female,46,9,Yes,16.33,2,37,Enjoying,Customer 76,user_76,No,6,Default
CUST0077,Female,52,10,Yes,8.13,2,139,Bookworm,Customer 77,user_77,No,5,Default
CUST0078,Female,24,9,Yes,13.64,5,478,Creative thinker who enjoys innovation and challenges,Customer 78,user_78,Yes,5,3
CUST0079,Female,56,10,No,15.99,1,952,Love,Customer 79,user_79,No,1,Default
CUST0080,Female,17,2,No,3.44,2,995,Love,Customer 80,customer80,No,7,Default
CUST0081,Female,44,10,No,19.46,1,768,Foodie,Customer 81,user_81,No,3,Default
CUST0082,Female,21,9,No,11.19,2,655,Fitness,Customer 82,user_82,No,1,Default
CUST0083,Female,52,8,Yes,12.68,1,958,Foodie,Customer 83,user_83,No,0,3
CUST0084,Male,64,9,Yes,18.14,3,925,Love,Customer 84,user_84,Yes,2,9
CUST0085,Male,32,6,No,6.59,5,579,"Foodie, traveler, and passionate about personal growth",Customer 85,user_85,Yes,5,11
CUST0086,Male,54,7,Yes,15.28,1,816,Music lover,Customer 86,user_86,No,7,Default
CUST0087,Male,21,4,Yes,14.98,2,565,Love exploring new places,Customer 87,user_87,No,8,Default
CUST0088,Female,49,0,No,4.28,2,50,Fitness,Customer 88,user_88,No,2,Default
CUST0089,Female,50,3,Yes,1.17,2,297,Shopaholic and proud,Customer 89,user_89,Yes,1,Default
CUST0090,Female,46,4,Yes,14.41,2,703,Shopaholic,Customer 90,user_90,Yes,6,10
CUST0091,Male,23,2,No,2.04,1,543,Love,Customer 91,user_91,No,0,Default
CUST0092,Male,33,6,No,14.04,2,26,Traveler,Customer 92,user_92,Yes,8,Default
CUST0093,Male,34,2,Yes,15.75,4,543,Adventure seeker and nature enthusiast,Customer 93,user_93,Yes,7,10
CUST0094,Male,23,2,No,17.3,,151,Music lover,Customer 94,user_94,Yes,6,Default
CUST0095,Female,49,1,Yes,18.31,1,531,Love,Customer 95,customer95,No,3,8
CUST0096,Female,59,3,Yes,7.28,1,946,Shopaholic,Customer 96,customer96,No,1,Default
CUST0097,Female,56,6,No,11.52,4,598,Creative thinker who enjoys innovation and challenges,Customer 97,user_97,Yes,7,3
CUST0098,Male,27,10,Yes,12.6,2,233,Love,Customer 98,user_98,No,10,4
CUST0099,Male,33,0,Yes,2.97,5,763,Fitness fanatic with a love for outdoor adventures,Customer 99,user_99,Yes,3,7
CUST0100,Female,20,4,Yes,18.84,1,154,Fitness,Customer 100,user_100,No,3,Default
CUST0101,Male,37,8,No,15.7,4,68,Creative thinker who enjoys innovation and challenges,Customer 101,user_101,Yes,1,9
CUST0102,Male,57,4,No,7.17,2,769,Shopaholic,Customer 102,user_102,No,10,Default
CUST0103,Female,30,7,No,13.64,2,250,Enjoying,Customer 103,user_103,No,8,Default
CUST0104,Female,44,1,Yes,19.58,2,887,Music lover,Customer 104,user_104,No,3,Default
